"No.","Time","Source","Destination","Protocol","Length","Info"
"289","2022-09-28 13:07:50.032131","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"290","2022-09-28 13:07:50.032133","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"291","2022-09-28 13:07:50.032134","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"292","2022-09-28 13:07:50.032135","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"293","2022-09-28 13:07:50.032136","csweb1.cs.uchicago.edu","10.152.5.30","TLSv1.2","1221","Application Data"
"294","2022-09-28 13:07:50.032137","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"295","2022-09-28 13:07:50.032138","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"296","2022-09-28 13:07:50.032140","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"297","2022-09-28 13:07:50.032141","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"298","2022-09-28 13:07:50.032142","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"299","2022-09-28 13:07:50.032143","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"300","2022-09-28 13:07:50.032144","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"301","2022-09-28 13:07:50.032146","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"302","2022-09-28 13:07:50.032252","csweb1.cs.uchicago.edu","10.152.5.30","TLSv1.2","1319","Application Data"
"303","2022-09-28 13:07:50.032263","10.152.5.30","csweb1.cs.uchicago.edu","TCP","54","56064 > 443 [ACK] Seq=5258 Ack=280607 Win=262144 Len=0"
"304","2022-09-28 13:07:50.032351","10.152.5.30","csweb1.cs.uchicago.edu","TCP","54","56064 > 443 [ACK] Seq=5258 Ack=281872 Win=262144 Len=0"
"305","2022-09-28 13:07:50.035774","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"306","2022-09-28 13:07:50.035779","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"307","2022-09-28 13:07:50.035780","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"308","2022-09-28 13:07:50.035782","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"309","2022-09-28 13:07:50.035783","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"310","2022-09-28 13:07:50.035784","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"311","2022-09-28 13:07:50.035785","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"312","2022-09-28 13:07:50.035787","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"313","2022-09-28 13:07:50.035788","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"314","2022-09-28 13:07:50.035789","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
